case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,8,fixed_latent,stage16_block1_attention,0.17722086608409882,0.03361885994672775,0.17400289546866854,0.1897003478742406
cifar,8,fixed_latent,stage16_block1_attention_residual,0.7814422249794006,0.6538465619087219,0.4279446511651946,0.8367177265420458
cifar,8,fixed_latent,stage16_block1_ffn,0.2128116339445114,0.1619102954864502,0.13810810170885382,0.7608150573603826
cifar,8,fixed_latent,stage16_block1,0.8394527435302734,0.6778534650802612,0.49517228163457017,0.8074944900764572
cifar,8,fixed_latent,stage32_upsample,0.8394527435302734,0.6778534650802612,0.49517228163457017,0.8074944900764572
cifar,8,fixed_latent,stage32_position,0.839927613735199,0.6778534650802612,0.4959768907858396,0.8070379565993954
cifar,8,fixed_latent,stage32_block0_attention,0.15636089444160461,0.02986493892967701,0.1534822945271059,0.19100005174778872
cifar,8,fixed_latent,stage32_block0_attention_residual,0.8647181391716003,0.6770750284194946,0.5378725370411988,0.7830008389417299
cifar,8,fixed_latent,stage32_block0_ffn,0.224638432264328,0.1467331051826477,0.17009356570321266,0.6531968003141577
cifar,8,fixed_latent,stage32_block0,0.90218585729599,0.6897836327552795,0.5814962262025697,0.7645693259066182
cifar,8,fixed_latent,stage32_block1_attention,0.18964891135692596,0.022319281473755836,0.1883309832538513,0.11768736932926632
cifar,8,fixed_latent,stage32_block1_attention_residual,0.9145234227180481,0.6905654668807983,0.5995601943521924,0.7551096557246987
cifar,8,fixed_latent,stage32_block1_ffn,0.22040893137454987,0.15265636146068573,0.15898469214127345,0.6926051521989849
cifar,8,fixed_latent,stage32_block1,0.9750515222549438,0.7179309129714966,0.6597731998585549,0.7363004893435583
cifar,8,fixed_latent,output_projection,1.8375523090362549,0.8880640268325806,1.6087077959313723,0.4832863927004862
cifar,8,evolving_prior,input_projection,0.5814220905303955,0.572446882724762,0.10176548440133351,0.9845633525939029
cifar,8,evolving_prior,stage8_position,0.581779956817627,0.572446882724762,0.10379058056212281,0.9839577249379344
